trasaction_type;goal;kind;number_rooms;number_bathrooms;number_parking_places;area;has_elevator;age;latitute;logitude;rent_value;sell_value
Aluguel;Comercial;sala comercial;0;3;3;88;1;2;-18.90455;-48.226056;842;0
Aluguel;Residencial;apartamento;3;2;4;206;1;7;-18.956415;-48.275523;2859;0
Aluguel;Residencial;casa;2;1;1;82;0;5;-18.939247;-48.294149;1919;0
Aluguel;Comercial;loja;0;1;4;203;1;4;-18.95665;-48.297814;714;0
Aluguel;Comercial;loja;0;2;1;240;1;4;-18.895987;-48.247758;1104;0
Venda;Residencial;apartamento;2;1;1;140;0;4;-18.924272;-48.308052;0;566526
Aluguel;Comercial;loja;0;2;4;104;1;6;-18.940977;-48.232677;2028;0
Aluguel;Residencial;apartamento;2;1;2;98;0;1;-18.920284;-48.281212;2293;0
Venda;Comercial;galpão;0;3;1;107;1;2;-18.91381;-48.266162;0;553118
Aluguel;Comercial;galpão;0;1;1;232;0;4;-18.908325;-48.232352;2069;0
Aluguel;Residencial;casa;3;2;4;125;0;0;-18.95281;-48.257105;2307;0
Venda;Residencial;apartamento;2;3;2;241;1;0;-18.9585;-48.216359;0;715566
Venda;Comercial;sala comercial;0;2;3;209;1;5;-18.962705;-48.274577;0;335465
Venda;Comercial;loja;0;1;1;113;1;6;-18.908541;-48.304984;0;390854
Aluguel;Residencial;casa de condomínio;3;3;2;96;0;6;-18.961924;-48.276207;2917;0
Aluguel;Comercial;sala comercial;0;2;4;82;1;1;-18.917354;-48.216529;1560;0
Aluguel;Residencial;casa de condomínio;2;3;3;126;1;3;-18.965158;-48.269713;2822;0
Venda;Residencial;casa;3;3;1;118;1;0;-18.921569;-48.323135;0;410469
Aluguel;Residencial;casa de condomínio;3;1;1;105;0;8;-18.923705;-48.332059;808;0
Aluguel;Comercial;sala comercial;0;2;4;86;1;3;-18.885021;-48.230403;1610;0
Venda;Comercial;loja;0;1;4;241;1;1;-18.953515;-48.288478;0;384926
Venda;Residencial;apartamento;4;3;1;112;0;9;-18.930007;-48.235693;0;414413
Aluguel;Comercial;galpão;0;2;1;169;1;0;-18.917272;-48.310907;1621;0
Venda;Residencial;casa de condomínio;2;3;2;151;1;5;-18.934762;-48.283303;0;366811
Aluguel;Comercial;sala comercial;0;1;3;186;0;7;-18.889521;-48.282584;1876;0
Venda;Residencial;casa de condomínio;4;1;3;216;0;5;-18.946852;-48.238538;0;426154
Aluguel;Residencial;apartamento;4;3;3;230;1;8;-18.889556;-48.312257;1130;0
Venda;Residencial;apartamento;2;2;2;97;0;4;-18.914231;-48.258721;0;532567
Venda;Residencial;casa;3;1;3;244;0;9;-18.893015;-48.292598;0;348850
Venda;Comercial;galpão;0;2;4;177;0;7;-18.892482;-48.244067;0;422445
Venda;Comercial;sala comercial;0;1;3;124;1;9;-18.951648;-48.232699;0;627061
Venda;Comercial;galpão;0;2;4;108;0;0;-18.92614;-48.250735;0;779070
Aluguel;Comercial;galpão;0;3;4;176;0;4;-18.951696;-48.28133;1888;0
Venda;Comercial;loja;0;2;3;150;0;6;-18.964454;-48.312075;0;763186
Aluguel;Comercial;galpão;0;3;2;95;0;5;-18.927825;-48.22881;838;0
Venda;Comercial;galpão;0;1;3;118;0;6;-18.961446;-48.274181;0;644715
Aluguel;Residencial;casa de condomínio;3;2;1;247;1;1;-18.952867;-48.262179;1124;0
Aluguel;Residencial;apartamento;4;1;2;114;1;8;-18.927557;-48.279334;2972;0
Venda;Comercial;galpão;0;3;4;137;1;8;-18.939268;-48.322968;0;550102
Venda;Residencial;casa;1;1;2;103;1;4;-18.966963;-48.245235;0;597331
Venda;Comercial;sala comercial;0;3;1;221;1;6;-18.916896;-48.279174;0;546338
Venda;Comercial;loja;0;1;4;86;1;10;-18.957617;-48.305461;0;656504
Aluguel;Residencial;apartamento;4;2;2;91;1;7;-18.892879;-48.324815;985;0
Venda;Comercial;loja;0;2;1;116;0;5;-18.942348;-48.254612;0;774062
Aluguel;Residencial;apartamento;2;1;1;220;1;0;-18.936565;-48.30009;2256;0
Aluguel;Residencial;casa;2;1;3;182;1;2;-18.905558;-48.28486;2366;0
Aluguel;Residencial;casa;1;2;1;137;0;0;-18.958295;-48.281291;1878;0
Venda;Residencial;casa de condomínio;2;1;2;97;1;0;-18.95011;-48.274728;0;210081
Venda;Comercial;sala comercial;0;1;1;148;0;5;-18.917992;-48.251695;0;184802
Aluguel;Residencial;casa;3;2;1;217;1;8;-18.958741;-48.23915;1340;0
Venda;Residencial;casa de condomínio;4;2;1;219;0;6;-18.966124;-48.257711;0;766668
Venda;Comercial;sala comercial;0;2;3;162;1;1;-18.88547;-48.319729;0;617419
Aluguel;Comercial;sala comercial;0;1;2;126;0;10;-18.953437;-48.324017;2529;0
Venda;Residencial;casa;3;2;4;236;0;6;-18.91203;-48.307326;0;791936
Aluguel;Residencial;casa de condomínio;4;2;2;97;1;0;-18.921833;-48.311803;2057;0
Aluguel;Residencial;apartamento;1;1;1;99;0;4;-18.920959;-48.233525;2201;0
Venda;Comercial;galpão;0;2;3;236;0;3;-18.93085;-48.267489;0;402445
Venda;Residencial;casa;3;1;1;209;0;10;-18.919754;-48.267964;0;761035
Aluguel;Comercial;galpão;0;1;1;88;1;0;-18.939795;-48.29093;1542;0
Aluguel;Comercial;loja;0;2;2;94;1;2;-18.930473;-48.281763;1782;0
Venda;Comercial;loja;0;1;4;236;0;7;-18.886645;-48.233711;0;176434
Aluguel;Residencial;casa;1;2;4;150;1;2;-18.884364;-48.260276;2747;0
Venda;Residencial;casa;4;1;1;162;1;5;-18.967609;-48.269629;0;136695
Aluguel;Residencial;casa de condomínio;1;2;4;217;1;8;-18.961524;-48.289631;1300;0
Venda;Residencial;casa;1;2;2;210;1;6;-18.888343;-48.218467;0;463551
Venda;Residencial;apartamento;4;3;1;125;1;10;-18.900472;-48.262622;0;256302
Aluguel;Comercial;galpão;0;1;4;207;0;7;-18.899126;-48.238607;1938;0
Venda;Comercial;sala comercial;0;2;1;212;1;2;-18.921484;-48.220168;0;202997
Venda;Residencial;apartamento;4;1;2;203;1;6;-18.912862;-48.285819;0;687098
Venda;Comercial;loja;0;1;1;170;0;4;-18.915257;-48.272659;0;429380
